trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type
65406367,21,1/1/18 0:04,1/1/18 0:25,3063,34.049198,-118.252831,3018,34.043732,-118.260139,5889,0,One Way,Walk-up
65406366,20,1/1/18 0:05,1/1/18 0:25,3063,34.049198,-118.252831,3018,34.043732,-118.260139,6311,0,One Way,Walk-up
65406365,19,1/1/18 0:06,1/1/18 0:25,3063,34.049198,-118.252831,3018,34.043732,-118.260139,5753,0,One Way,Walk-up
65406364,22,1/1/18 0:13,1/1/18 0:35,3018,34.043732,-118.260139,3031,34.044701,-118.252441,6220,30,One Way,Monthly Pass
65406362,45,1/1/18 0:14,1/1/18 0:59,4204,33.988419,-118.45163,4216,34.023392,-118.479637,12436,30,One Way,Monthly Pass
65406363,6,1/1/18 0:14,1/1/18 0:20,3063,34.049198,-118.252831,3031,34.044701,-118.252441,11978,30,One Way,Monthly Pass
65406361,12,1/1/18 0:15,1/1/18 0:27,4147,34.145248,-118.15007,4148,34.14967,-118.145111,5736,0,One Way,Walk-up
65406360,13,1/1/18 0:18,1/1/18 0:31,3006,34.04554,-118.256668,3047,34.039982,-118.266403,6610,0,One Way,Walk-up
65406359,8,1/1/18 0:23,1/1/18 0:31,3006,34.04554,-118.256668,3047,34.039982,-118.266403,5761,0,One Way,Walk-up
65418678,118,1/1/18 0:24,1/1/18 2:22,4165,34.14175,-118.149063,4165,34.14175,-118.149063,6304,30,Round Trip,Monthly Pass
65418677,114,1/1/18 0:28,1/1/18 2:22,4165,34.14175,-118.149063,4165,34.14175,-118.149063,6378,1,Round Trip,One Day Pass
65406356,1,1/1/18 0:31,1/1/18 0:32,3051,34.045422,-118.253517,3051,34.045422,-118.253517,6386,30,Round Trip,Monthly Pass
65406357,21,1/1/18 0:31,1/1/18 0:52,3022,34.04607,-118.233093,3063,34.049198,-118.252831,12022,365,One Way,Flex Pass
65406358,26,1/1/18 0:31,1/1/18 0:57,3082,34.04652,-118.237411,3063,34.049198,-118.252831,6108,0,One Way,Walk-up
65406353,8,1/1/18 0:32,1/1/18 0:40,3051,34.045422,-118.253517,3063,34.049198,-118.252831,12401,30,One Way,Monthly Pass
65406354,25,1/1/18 0:32,1/1/18 0:57,3082,34.04652,-118.237411,3063,34.049198,-118.252831,6083,0,One Way,Walk-up
65406355,20,1/1/18 0:32,1/1/18 0:52,3022,34.04607,-118.233093,3063,34.049198,-118.252831,5916,365,One Way,Flex Pass
65406352,4,1/1/18 0:45,1/1/18 0:49,4165,34.14175,-118.149063,4165,34.14175,-118.149063,12346,0,Round Trip,Walk-up
65418669,92,1/1/18 0:50,1/1/18 2:22,4165,34.14175,-118.149063,4165,34.14175,-118.149063,6187,0,Round Trip,Walk-up
65406351,2,1/1/18 0:51,1/1/18 0:53,3048,34.041691,-118.235352,3054,34.039219,-118.236488,6506,30,One Way,Monthly Pass
65412500,45,1/1/18 0:51,1/1/18 1:36,3030,34.051941,-118.24353,3030,34.051941,-118.24353,5748,0,Round Trip,Walk-up
65412499,55,1/1/18 0:56,1/1/18 1:51,4155,34.147812,-118.132217,4177,34.144981,-118.13826,6175,0,One Way,Walk-up
65412498,13,1/1/18 0:58,1/1/18 1:11,3074,34.04417,-118.261169,3082,34.04652,-118.237411,5822,0,One Way,Walk-up
65412496,8,1/1/18 0:59,1/1/18 1:07,4147,34.145248,-118.15007,4160,34.133011,-118.14856,6504,0,One Way,Walk-up
